2024-01-11 17:12:46
Post Name : C-BIO_2

Batch Name : 20221003 PHNPhVal

Date;1TE01 - Temperature;1AE02 - Oxygene dissous;1AE03 - pH;1AE05 - Libre 1;1AE06 - Libre 2;1MT01 - Agitation;1PP23 - Pompe 01PP23;1AE01 - Anti-Mousse;1FV50 - Air;1SC01 - Agitation_MV;1SC01 - Agitation_SP;1SC01 - Agitation_OUT;1TC01 - Temperature_MV;1TC01 - Temperature_SP;1TC01 - Temperature_OUT;1AC03 - Oxygene Dissous_MV;1AC03 - Oxygene Dissous_SP;1AC03 - Oxygene Dissous_OUT;1AC04 - pH_MV;1AC04 - pH_SP;1AC04 - pH_OUT;1AC01 - Anti Mousse_MV;1AC01 - Anti Mousse_SP;1AC01 - Anti Mousse_OUT;1PC23 - Pompe 01PP23_MV;1PC23 - Pompe 01PP23_SP;1PC23 - Pompe 01PP23_OUT;1FC50 - Air_MV;1FC50 - Air_SP;1FC50 - Air_OUT;1AC05 - Libre 1_MV;1AC05 - Libre 1_SP;1AC05 - Libre 1_OUT;1AC06 - Libre 2_MV;1AC06 - Libre 2_SP;1AC06 - Libre 2_OUT;1XC01 - Calcul 1_MV;1XC01 - Calcul 1_SP;1XC01 - Calcul 1_OUT;1XC02 - Calcul 2_MV;1XC02 - Calcul 2_SP;1XC02 - Calcul 2_OUT;1XC03 - Calcul 3_MV;1XC03 - Calcul 3_SP;1XC03 - Calcul 3_OUT;1XC04 - Calcul 4_MV;1XC04 - Calcul 4_SP;1XC04 - Calcul 4_OUT;1XC05 - Calcul 5_MV;1XC05 - Calcul 5_SP;1XC05 - Calcul 5_OUT;1XC06 - Calcul 6_MV;1XC06 - Calcul 6_SP;1XC06 - Calcul 6_OUT;COMMENT;
03/10/2022 18:32:23;29,857269;96,747963;6,98035;-0,209686;-109,183167;400;8;0;0,500017;400;400;40;29,857269;30;8,010015;96,821281;30;-100;6,989706;7;0;0;0;0;8;10;0;0,500017;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:32:53;29,866253;96,814598;6,996257;-0,209686;-109,183167;400;8;0;0,499925;400;400;40;29,857269;30;8,010015;97,041191;30;-100;6,995789;7;0;0;0;0;8;10;0;0,500094;0,5;5;-0,249771;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:33:23;29,857269;96,314812;6,978947;-0,209686;-109,183167;400;8;0;0,499882;400;400;40;29,857269;30;8,010015;96,314812;30;-100;6,978947;7;0;0;0;0;8;10;0;0,499882;0,5;5;-0,209686;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:33:53;29,854275;96,108223;6,990174;-0,209686;-109,183167;400;8;0;0,499937;400;400;40;29,854275;30;8,010015;96,108223;30;-100;6,990174;7;0;0;0;0;8;10;0;0,499937;0,5;5;-0,209686;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:34:23;29,857269;96,328133;7,015438;-0,149597;-109,183167;400;8;0;0,499792;400;400;40;29,857269;30;8,010015;96,328133;30;-100;7,015438;7;0;0;0;0;8;10;0;0,499792;0,5;5;-0,149597;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:34:53;29,857269;95,988274;6,992046;-0,169617;-109,183167;400;8;0;0,499737;400;400;40;29,857269;30;8,010015;96,294823;30;-100;7,006082;7;0;0;0;0;8;10;0;0,499737;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:35:23;29,854275;97,394371;7,004678;-0,209686;-109,183167;400;8;0;0,500001;400;400;40;29,854275;30;7,953647;97,394371;30;-100;7,004678;7;0;0;0;0;8;10;0;0,500001;0,5;5;-0,209686;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:35:53;29,857269;96,088249;7,004678;-0,209686;-109,183167;400;8;0;0,50005;400;400;40;29,896198;30;8,010015;96,108223;30;-100;6,979881;7;0;0;0;0;8;10;0;0,500046;0,5;5;-0,209686;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:36:23;29,887218;96,801277;7,005612;-0,169617;-109,183167;400;8;0;0,499945;400;400;40;29,887218;30;7,671772;96,801277;30;-100;7,005612;7;0;0;0;0;8;10;0;0,499945;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:36:53;29,893208;96,161537;6,99111;-0,209686;-109,183167;400;8;0;0,500192;400;400;40;29,893208;30;7,72814;96,161537;30;-100;6,99111;7;0;0;0;0;8;10;0;0,500192;0,5;5;-0,209686;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
